Address,Score,Strict Same TX,NB TX,Sybil,Chain From First,Chain To First,Date First,Protocol First,Chain From Last,Chain To Last,Date Last,Protocol Last
0x4d07db58a7a7a5c5b0011020c78a1083933fcea9,59.73,5,124,false,BNB Chain,Harmony,2023-05-31 21:30:57.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:57:39.000,Merkly
0xf09e0e67e8e12fb3cdb88ea6a34e082418e9925e,59.98,10,112,false,BNB Chain,Harmony,2023-05-31 21:33:03.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 16:49:28.000,Merkly
0xbcfa1fbc96b38caaf1a880289092b028f98abe19,55.66,8,118,false,BNB Chain,Harmony,2023-05-31 21:34:06.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 14:16:12.000,Merkly
0x6c4d2ed3c28c668aed3d418d161648185294bef9,54.73,6,117,false,BNB Chain,Harmony,2023-05-31 21:35:24.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:45:34.000,Merkly
0x15335b66e9d4afbf4c8512d21ecb196c9102d89a,89.26,11,108,false,BNB Chain,Harmony,2023-05-31 21:38:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:56:04.000,Merkly
0x2488508f2c87c5ac228c66771905fd862e20fb2d,89.51,14,99,false,BNB Chain,Harmony,2023-05-31 21:39:28.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 23:29:59.000,Merkly
0xf3c9e217299b231e62821fd2853e8a3e2212d447,85.32,9,100,false,BNB Chain,Harmony,2023-05-31 21:42:46.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-09 22:32:14.000,Merkly
0x12f5a9af629e554aedef71c53501964a5fd84d4d,86.30,9,107,false,BNB Chain,Harmony,2023-05-31 21:44:58.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 05:35:49.000,Merkly
0x4e055ddc2d8b7c42f1c5739a07b2b5f4dc0817e2,65.56,7,108,false,BNB Chain,Harmony,2023-05-31 21:47:04.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 15:25:06.000,Merkly
0x2a21d6f0db99de15aa56cc56c86e56843575cc85,76.42,5,104,false,BNB Chain,Harmony,2023-05-31 21:48:07.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 11:13:50.000,Merkly
0x65099abeaf0a307c19e2e380fc184ee140b7cc6d,85.37,12,102,false,BNB Chain,Harmony,2023-05-31 21:49:10.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:34:29.000,Merkly
0xcd4f8fffdc9e2323bdee47dc18fadd3f27d2c39e,86.52,11,97,false,BNB Chain,Harmony,2023-05-31 21:50:13.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 14:26:16.000,Merkly
0xc41eb51776d1ff55a37e5a2c01267ade858c72e6,65.00,5,111,false,BNB Chain,Harmony,2023-05-31 21:51:16.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 13:41:17.000,Merkly
0x1364ef9a73f072bea31dc1f91e390c3a61e18c70,69.36,8,111,false,BNB Chain,Harmony,2023-05-31 21:52:19.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 15:18:42.000,Merkly
0xaaa94859b76f0bafb22a66d9c53731301cc57220,69.98,11,114,false,BNB Chain,Harmony,2023-05-31 21:54:26.000,Harmony Bridge,Celo Mainnet,Moonbeam,2024-04-10 12:43:36.000,Merkly
0xae76de52589ee9be2a48e50a1fcb81fedb588b65,68.82,8,110,false,BNB Chain,Harmony,2023-05-31 21:55:14.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 01:14:54.000,Merkly
0x22df8160d8267ebf2a932e126d70c06804cff335,69.12,11,117,false,BNB Chain,Harmony,2023-05-31 21:57:22.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 04:59:19.000,Merkly
0x3f132d31c3b2af1de5d0dfd357eea5bb224b9e96,76.57,8,106,false,BNB Chain,Harmony,2023-05-31 21:58:25.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 06:19:14.000,Merkly
0xd3a06efb34aa87fec55c59a0603c050d612d3b55,86.81,15,104,false,BNB Chain,Harmony,2023-05-31 22:00:31.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-10 03:46:34.000,Merkly
0x4f744fa0f5029f2250b432cbc89462834c525ada,69.56,11,95,false,BNB Chain,Harmony,2023-05-31 22:01:34.000,Harmony Bridge,Celo Mainnet,Gnosis,2024-04-02 21:44:17.000,Merkly
